particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,mean,966.102(21),966.086,1,,,,,,,,,,
,min,966.081,966.086,2125802,0.5,1.0,-1.0,3.0,0.0,2.5,1.0,,,
,delta,,,1,,,,,,,,65910,0.00152,∆ abs(i)
,max,966.122,966.12,3008145,1.0,-2.5,0.5,-1.5,1.5,-0.5,0.0,,,
,mean,966.102(21),966.1,-424,,,,,,,,,,
,min,966.081,966.081,3008570,1.0,-2.5,0.5,-1.0,-2.0,3.0,0.0,,,
,delta,,,424,,,,,,,,10985,3.85981,∆ abs(i)
,max,966.122,966.113,3024765,1.0,-2.5,1.0,2.0,-0.5,-2.5,0.0,,,
,mean,966.102(21),966.098,-213,,,,,,,,,,
,min,966.081,966.082,3024979,1.0,-2.5,1.0,2.0,1.0,-0.5,-0.5,,,
,delta,,,213,,,,,,,,10985,1.93901,∆ abs(i)
,max,966.122,966.12,3085915,1.0,-2.0,-2.5,-1.0,1.5,2.5,0.0,,,
,mean,966.102(21),966.105,-59,,,,,,,,,,
,min,966.081,966.09,3085975,1.0,-2.0,-2.5,-1.0,2.0,2.0,0.0,,,
,delta,,,59,,,,,,,,10985,0.5371,∆ abs(i)
,max,966.122,966.119,3103480,1.0,-2.0,-2.0,3.0,0.5,-2.5,0.0,,,
,mean,966.102(21),966.103,1129,,,,,,,,,,
,min,966.081,966.087,3102352,1.0,-2.0,-2.0,2.5,-2.0,1.5,1.0,,,
,delta,,,1129,,,,,,,,10985,10.27765,∆ abs(i)
,total,,,4285,,,,,,,,153790,2.78627,Σ ∆i
KL$^0$,particle,,,,,,,,,,,,,
,max,973.825,973.818,2028847,0.5,0.5,1.5,-2.5,2.0,-1.5,1.0,,,
,mean,973.800(26),973.797,-4,,,,,,,,,,
,min,973.774,973.776,2028852,0.5,0.5,1.5,-2.5,2.0,-1.0,1.0,,,
,delta,,,4,,,,,,,,10985,0.03641,∆ abs(i)
,max,973.825,973.824,2045457,0.5,0.5,2.0,1.0,-0.5,2.0,1.0,,,
,mean,973.800(26),973.806,-1426,,,,,,,,,,
,min,973.774,973.787,2046884,0.5,0.5,2.0,2.0,-2.5,2.0,-0.5,,,
,delta,,,1426,,,,,,,,10985,12.98134,∆ abs(i)
,max,973.825,973.825,2108689,0.5,1.0,-1.5,-0.5,-1.5,1.0,-0.5,,,
,mean,973.800(26),973.8,-483,,,,,,,,,,
,min,973.774,973.775,2109173,0.5,1.0,-1.5,-0.5,2.5,-2.5,-1.0,,,
,delta,,,483,,,,,,,,10985,4.3969,∆ abs(i)
,max,973.825,973.823,2124170,0.5,1.0,-1.0,2.0,0.5,2.0,0.0,,,
,mean,973.800(26),973.8,-763,,,,,,,,,,
,min,973.774,973.777,2124934,0.5,1.0,-1.0,2.5,0.0,0.5,-0.5,,,
